id,video_id,comment_id,comment_text,author,like_count,reply_count,reply_depth_potential,engagement_score,created_at,ai_reply,embedding
1,ABCD1234,UCm0001,もっと色々教えてほしい！,@luna_art,18,1,0,0,2025-11-06 19:51:00,,
2,ABCD1234,UCm0002,このシリーズもっと続けてほしい！,@hiro_mix,1,2,0,0,2025-11-07 11:31:00,,
3,MNOP3456,UCm0003,ちょっと早口だけど内容は好き,@yuta_funny,8,2,0,0,2025-11-06 03:09:00,,
4,EFGH5678,UCm0004,ちょっと早口だけど内容は好き,@ren_dev,5,0,0,0,2025-11-05 09:13:00,,
5,ABCD1234,UCm0005,笑いながら見てたwww,@mikan_orange,28,2,0,0,2025-11-07 05:59:00,,
6,ABCD1234,UCm0006,めっちゃ分かりやすかった！ありがとう！,@tomo_tube,11,0,0,0,2025-11-07 18:52:00,,
7,EFGH5678,UCm0007,笑いながら見てたwww,@sora_day,8,2,0,0,2025-11-05 16:33:00,,
8,EFGH5678,UCm0008,刺激受けました、頑張ります！,@kana_study,10,2,0,0,2025-11-06 19:25:00,,
9,EFGH5678,UCm0009,編集スキル高すぎません？,@tomo_tube,19,1,0,0,2025-11-07 06:46:00,,
10,MNOP3456,UCm0010,刺激受けました、頑張ります！,@blueforest,7,2,0,0,2025-11-07 15:38:00,,
11,IJKL9012,UCm0011,ちょっと早口だけど内容は好き,@emi_create,30,0,0,0,2025-11-05 09:36:00,,
12,MNOP3456,UCm0012,音質すごく良いですね🎧,@hiro_mix,9,3,0,0,2025-11-05 08:20:00,,
13,EFGH5678,UCm0013,刺激受けました、頑張ります！,@hiro_mix,27,3,0,0,2025-11-08 07:21:00,,
14,EFGH5678,UCm0014,これは保存したくなる…,@tomo_tube,11,0,0,0,2025-11-06 09:46:00,,
15,MNOP3456,UCm0015,このシリーズもっと続けてほしい！,@mikan_orange,20,1,0,0,2025-11-06 22:53:00,,
16,EFGH5678,UCm0016,刺激受けました、頑張ります！,@luna_art,4,2,0,0,2025-11-06 11:57:00,,
17,IJKL9012,UCm0017,このシリーズもっと続けてほしい！,@luna_art,30,2,0,0,2025-11-07 18:48:00,,
18,ABCD1234,UCm0018,音質すごく良いですね🎧,@emi_create,21,1,0,0,2025-11-06 23:26:00,,
19,MNOP3456,UCm0019,ちょっと早口だけど内容は好き,@sora_day,14,1,0,0,2025-11-08 00:28:00,,
20,MNOP3456,UCm0020,ちょっと早口だけど内容は好き,@emi_create,25,3,0,0,2025-11-07 01:54:00,,
21,IJKL9012,UCm0021,音質すごく良いですね🎧,@mikan_orange,0,2,0,0,2025-11-06 20:03:00,,
22,ABCD1234,UCm0022,編集スキル高すぎません？,@ren_dev,17,2,0,0,2025-11-05 20:58:00,,
23,MNOP3456,UCm0023,ちょっと早口だけど内容は好き,@blueforest,16,1,0,0,2025-11-08 17:55:00,,
24,MNOP3456,UCm0024,めっちゃ分かりやすかった！ありがとう！,@blueforest,5,3,0,0,2025-11-08 19:08:00,,
25,ABCD1234,UCm0025,ちょっと早口だけど内容は好き,@yuta_funny,17,3,0,0,2025-11-06 00:09:00,,
26,MNOP3456,UCm0026,刺激受けました、頑張ります！,@yuta_funny,16,2,0,0,2025-11-08 14:14:00,,
27,ABCD1234,UCm0027,ちょっと早口だけど内容は好き,@kana_study,30,0,0,0,2025-11-07 07:07:00,,
28,IJKL9012,UCm0028,もっと色々教えてほしい！,@tomo_tube,26,3,0,0,2025-11-08 07:14:00,,
29,IJKL9012,UCm0029,もっと色々教えてほしい！,@luna_art,30,0,0,0,2025-11-06 13:33:00,,
30,MNOP3456,UCm0030,音質すごく良いですね🎧,@hiro_mix,11,2,0,0,2025-11-07 18:32:00,,
31,MNOP3456,UCm0031,音質すごく良いですね🎧,@mikan_orange,21,2,0,0,2025-11-06 05:26:00,,
32,EFGH5678,UCm0032,こういう解説待ってた…助かります,@mikan_orange,18,1,0,0,2025-11-06 11:26:00,,
33,EFGH5678,UCm0033,このシリーズもっと続けてほしい！,@emi_create,6,3,0,0,2025-11-08 06:44:00,,
34,MNOP3456,UCm0034,もっと色々教えてほしい！,@mikan_orange,10,2,0,0,2025-11-07 16:43:00,,
35,EFGH5678,UCm0035,もっと色々教えてほしい！,@luna_art,22,3,0,0,2025-11-06 14:32:00,,
36,MNOP3456,UCm0036,もっと色々教えてほしい！,@luna_art,4,1,0,0,2025-11-08 00:35:00,,
37,EFGH5678,UCm0037,音質すごく良いですね🎧,@hiro_mix,29,1,0,0,2025-11-06 12:30:00,,
38,IJKL9012,UCm0038,ちょっと早口だけど内容は好き,@blueforest,1,0,0,0,2025-11-05 13:01:00,,
39,EFGH5678,UCm0039,もっと色々教えてほしい！,@emi_create,30,3,0,0,2025-11-07 04:57:00,,
